1. Number: test-CargoTrain1| Current station:  |Route name:  |
2. Number: test-CargoTrain2| Current station:  |Route name:  |
3. Number: 100| Current station:  |Route name:  |
4. Number: 100| Current station:  |Route name:  |
5. Number: 100| Current station:  |Route name:  |
6. Number: 100| Current station:  |Route name:  |
7. Number: 80| Current station:  |Route name:  |
8. Number: 100| Current station:  |Route name:  |
9. Number: 80| Current station:  |Route name:  |
10. Number: 100| Current station:  |Route name:  |
11. Number: 80| Current station:  |Route name:  |
12. Number: 100| Current station:  |Route name:  |
13. Number: 80| Current station:  |Route name:  |
14. Number: 100| Current station:  |Route name:  |
15. Number: 80| Current station:  |Route name:  |
16. Number: 100| Current station:  |Route name:  |
17. Number: 80| Current station:  |Route name:  |
18. Number: 100| Current station:  |Route name:  |
19. Number: 80| Current station:  |Route name:  |
20. Number: 100| Current station:  |Route name:  |
21. Number: 80| Current station:  |Route name:  |
22. Number: 100| Current station:  |Route name:  |
23. Number: 80| Current station:  |Route name:  |
24. Number: 100| Current station:  |Route name:  |
25. Number: 80| Current station:  |Route name:  |
26. Number: 100| Current station:  |Route name:  |
27. Number: 80| Current station:  |Route name:  |
28. Number: 100| Current station:  |Route name:  |
29. Number: 80| Current station:  |Route name:  |
30. Number: 100| Current station:  |Route name:  |
31. Number: 80| Current station:  |Route name:  |
32. Number: 100| Current station:  |Route name:  |
33. Number: 80| Current station:  |Route name:  |
34. Number: 100| Current station:  |Route name:  |
35. Number: 80| Current station:  |Route name:  |
36. Number: 100| Current station:  |Route name:  |
37. Number: 80| Current station:  |Route name:  |
38. Number: 100| Current station:  |Route name:  |
39. Number: 80| Current station:  |Route name:  |
40. Number: 100| Current station:  |Route name:  |
41. Number: 80| Current station:  |Route name:  |
42. Number: 100| Current station:  |Route name:  |
43. Number: 80| Current station:  |Route name:  |
44. Number: 100| Current station:  |Route name:  |
45. Number: 80| Current station:  |Route name:  |
46. Number: 100| Current station:  |Route name:  |
47. Number: 80| Current station:  |Route name:  |
48. Number: 100| Current station:  |Route name:  |
49. Number: 80| Current station:  |Route name:  |
50. Number: 100| Current station:  |Route name:  |
51. Number: 80| Current station:  |Route name:  |
52. Number: 100| Current station:  |Route name:  |
53. Number: 80| Current station:  |Route name:  |
54. Number: 100| Current station:  |Route name:  |
55. Number: 80| Current station:  |Route name:  |
56. Number: 100| Current station:  |Route name:  |
57. Number: 80| Current station:  |Route name:  |
58. Number: 100| Current station:  |Route name:  |
59. Number: 80| Current station:  |Route name:  |
60. Number: 100| Current station:  |Route name:  |
61. Number: 80| Current station:  |Route name:  |
62. Number: 100| Current station:  |Route name:  |
63. Number: 80| Current station:  |Route name:  |
64. Number: 100| Current station:  |Route name:  |
65. Number: 80| Current station:  |Route name:  |
66. Number: 100| Current station:  |Route name:  |
67. Number: 80| Current station:  |Route name:  |
68. Number: 100| Current station:  |Route name:  |
69. Number: 80| Current station:  |Route name:  |
70. Number: 100| Current station:  |Route name:  |
71. Number: 80| Current station:  |Route name:  |
72. Number: 100| Current station:  |Route name:  |
73. Number: 80| Current station:  |Route name:  |
74. Number: 100| Current station:  |Route name:  |
