2020-07-25 16:12:35 +0600 | Station | Invalid attribute value
2020-07-25 16:12:58 +0600 | Station | Invalid attribute value
2020-07-25 16:21:43 +0600 | Station | Invalid attribute value
2020-07-26 17:18:57 +0600 | Station | Invalid attribute value
2020-07-26 17:19:07 +0600 | Station | Invalid attribute value
2020-07-26 17:27:04 +0600 | Station | Invalid attribute value
2020-07-26 17:27:25 +0600 | Station | Invalid attribute value
2020-07-26 17:27:25 +0600 | Station | Invalid attribute value
2020-07-26 21:53:03 +0600 | Station | attr is not a train
2020-07-27 16:33:16 +0600 | PassengerWagon | All seats occupied
2020-07-27 16:35:49 +0600 | PassengerWagon | All seats occupied
2020-07-27 16:36:15 +0600 | PassengerWagon | All seats occupied
2020-07-27 16:44:18 +0600 | CargoWagon | Invalid attribute value
2020-07-27 16:44:22 +0600 | CargoWagon | Invalid attribute value
2020-07-27 16:44:28 +0600 | CargoWagon | Invalid attribute value
2020-07-27 16:44:37 +0600 | CargoWagon | Invalid attribute value
2020-07-27 16:44:40 +0600 | CargoWagon | Invalid attribute value
2020-07-27 16:45:41 +0600 | CargoWagon | Invalid attribute value
2020-07-27 16:45:48 +0600 | CargoWagon | Invalid attribute value
2020-07-27 16:50:30 +0600 | CargoWagon | Volume exceeded
2020-07-28 00:25:35 +0600 | Train | Invalid attribute value
2020-07-28 00:33:46 +0600 | CargoWagon | Volume exceeded
2020-07-28 00:33:49 +0600 | CargoWagon | Volume exceeded
2020-07-28 00:34:03 +0600 | PassengerWagon | All seats occupied
