1. Number: 100| Current station:  |Route name:  |
2. Number: 80| Current station:  |Route name:  |
3. Number: 100| Current station:  |Route name:  |
4. Number: 80| Current station:  |Route name:  |
5. Number: 100| Current station:  |Route name:  |
6. Number: 80| Current station:  |Route name:  |
7. Number: 100| Current station:  |Route name:  |
8. Number: 80| Current station:  |Route name:  |
9. Number: 100| Current station:  |Route name:  |
10. Number: 80| Current station:  |Route name:  |
11. Number: 100| Current station:  |Route name:  |
12. Number: 80| Current station:  |Route name:  |
13. Number: 100| Current station:  |Route name:  |
14. Number: 80| Current station:  |Route name:  |
15. Number: 100| Current station:  |Route name:  |
16. Number: 80| Current station:  |Route name:  |
17. Number: 100| Current station:  |Route name:  |
18. Number: 80| Current station:  |Route name:  |
19. Number: 100| Current station:  |Route name:  |
20. Number: 80| Current station:  |Route name:  |
21. Number: 100| Current station:  |Route name:  |
22. Number: 80| Current station:  |Route name:  |
23. Number: 100| Current station:  |Route name:  |
24. Number: 80| Current station:  |Route name:  |
25. Number: 100| Current station:  |Route name:  |
26. Number: 80| Current station:  |Route name:  |
27. Number: 100| Current station:  |Route name:  |
28. Number: 80| Current station:  |Route name:  |
29. Number: 100| Current station:  |Route name:  |
30. Number: 80| Current station:  |Route name:  |
31. Number: 100| Current station:  |Route name:  |
32. Number: 80| Current station:  |Route name:  |
33. Number: 100| Current station:  |Route name:  |
34. Number: 80| Current station:  |Route name:  |
35. Number: 100| Current station:  |Route name:  |
36. Number: 80| Current station:  |Route name:  |
37. Number: 100| Current station:  |Route name:  |
38. Number: 80| Current station:  |Route name:  |
39. Number: 100| Current station:  |Route name:  |
40. Number: 80| Current station:  |Route name:  |
41. Number: 100| Current station:  |Route name:  |
42. Number: 80| Current station:  |Route name:  |
43. Number: 100| Current station:  |Route name:  |
44. Number: 80| Current station:  |Route name:  |
45. Number: 100| Current station:  |Route name:  |
46. Number: 80| Current station:  |Route name:  |
47. Number: 100| Current station:  |Route name:  |
48. Number: 80| Current station:  |Route name:  |
49. Number: 100| Current station:  |Route name:  |
50. Number: 80| Current station:  |Route name:  |
51. Number: 100| Current station:  |Route name:  |
52. Number: 80| Current station:  |Route name:  |
53. Number: 100| Current station:  |Route name:  |
54. Number: 80| Current station:  |Route name:  |
55. Number: 100| Current station:  |Route name:  |
56. Number: 80| Current station:  |Route name:  |
57. Number: 100| Current station:  |Route name:  |
58. Number: 80| Current station:  |Route name:  |
59. Number: 100| Current station:  |Route name:  |
60. Number: 80| Current station:  |Route name:  |
61. Number: 100| Current station:  |Route name:  |
62. Number: 80| Current station:  |Route name:  |
63. Number: 100| Current station:  |Route name:  |
64. Number: 80| Current station:  |Route name:  |
65. Number: 100| Current station:  |Route name:  |
66. Number: 80| Current station:  |Route name:  |
67. Number: 100| Current station:  |Route name:  |
68. Number: 80| Current station:  |Route name:  |
69. Number: 100| Current station:  |Route name:  |
70. Number: 80| Current station:  |Route name:  |
71. Number: 100| Current station:  |Route name:  |
72. Number: 80| Current station:  |Route name:  |
73. Number: 100| Current station:  |Route name:  |
74. Number: 80| Current station:  |Route name:  |
75. Number: 100| Current station:  |Route name:  |
76. Number: 80| Current station:  |Route name:  |
77. Number: 100| Current station:  |Route name:  |
78. Number: 80| Current station:  |Route name:  |
79. Number: 100| Current station:  |Route name:  |
80. Number: 80| Current station:  |Route name:  |
81. Number: 100| Current station:  |Route name:  |
82. Number: 80| Current station:  |Route name:  |
83. Number: 100| Current station:  |Route name:  |
84. Number: 80| Current station:  |Route name:  |
85. Number: 100| Current station:  |Route name:  |
